team,scenario,saturday_date,obs_cases_med,obs_cases_low,obs_cases_hi,true_inf_med,true_inf_low,true_inf_hi,population_size,vacc_med,vacc_low,vacc_hi
JHU,1,2010-10-23,4565.25,1861.2,10095.937499999998,15430.75,6527.2,38684.08749999996,10914935.5,NA,NA,NA
JHU,1,2010-10-30,5739,2844.8375,12806.75,19613,7599.4375,48114.54999999985,10918049.75,NA,NA,NA
JHU,1,2010-11-06,6642.25,3265.1875,15125.949999999995,22312.5,8091.1625,71937.16249999973,10921166,NA,NA,NA
JHU,1,2010-11-13,7347,3576.95,18037.474999999995,24342,8165.9,118058.36249999976,10924282.25,NA,NA,NA
JHU,1,2010-11-20,7970.25,3893.0875,17924.287499999922,26184.25,7860.549999999999,178994.14999999985,10927402.5,NA,NA,NA
JHU,1,2010-11-27,8400,3766.15,21416.62499999994,26338.25,7017.4375,227613.24999999994,10930519,NA,NA,NA
JHU,1,2010-12-04,8303.25,3774.7625,24041.175000000003,26082.75,6620.0250000000005,222203.93749999942,10933643.25,NA,NA,NA
JHU,1,2010-12-11,8086.75,3731.625,24083.312499999978,25588,6096.675,230542.64999999944,10936762.25,NA,NA,NA
JHU,1,2010-12-18,7912.5,3247.1875,25621.774999999932,25206.5,5443.3499999999995,236576.91249999974,10939888.5,NA,NA,NA
JHU,1,2010-12-25,7711.75,3064.3375,28155.087499999972,23951.25,4968.625,229383.33749999997,10943008.25,NA,NA,NA
JHU,1,2011-01-01,7305,2463.2125,27703.25,22322.25,4536.9625,207431.4625,10946131.5,NA,NA,NA
JHU,1,2011-01-08,6492,2307.0125,25787.91249999996,20176.25,4111.8875,183010.37499999985,10949258.5,NA,NA,NA
JHU,1,2011-01-15,6109.25,2069.8125,22447.674999999872,18643.25,3515.9875,157524.08749999985,10952392,NA,NA,NA
JHU,1,2011-01-22,5534.75,1792.4375,22001.012499999884,16771,2861.1875,134022.0874999999,10955514,NA,NA,NA
JHU,1,2011-01-29,4986.5,1490.8,18972.562499999876,14854.75,2430.0875,115922.09999999998,10958640.5,NA,NA,NA
JHU,1,2011-02-05,4433.75,1323.3875,16938.02499999995,13275.25,2119.5625,97497.86249999983,10961771.75,NA,NA,NA
JHU,1,2011-02-12,4046,1170.275,14903.649999999983,12243.5,1856.575,84987.37499999999,10964906,NA,NA,NA
JHU,1,2011-02-19,3692.25,958.9125,17499.549999999985,10726.5,1658.575,70973.63749999985,10968036.75,NA,NA,NA
JHU,1,2011-02-26,3158.25,926.725,13285.049999999983,9578.5,1556.3375,68129.44999999994,10971163.75,NA,NA,NA
JHU,1,2011-03-05,3109.5,791.1875,11466.549999999983,8699.75,1417.4,64347.0124999999,10974298,NA,NA,NA
JHU,1,2011-03-12,3084.5,745.175,11061.012499999997,8228.5,1296.375,57950.94999999988,10977429.75,NA,NA,NA
JHU,1,2011-03-19,2737.75,706.8625,11177.49999999999,8000.25,1348.4875,53802.1,10980558.75,NA,NA,NA
JHU,1,2011-03-26,2630.5,630.125,10020.687499999998,7970.5,1279.8125,55666.37499999996,10983690.75,NA,NA,NA
JHU,1,2011-04-02,2659.75,643.225,10621.46249999999,7970.25,1269.225,52516.0499999999,10986829.25,NA,NA,NA
JHU,1,2011-04-09,2833.75,683.0875,10729.724999999966,8289.25,1272.4125000000001,51952.67499999984,10989968.75,NA,NA,NA
JHU,1,2011-04-16,3103,701.9375,10902.037499999984,8877.25,1346.5625,54807.53749999984,10993101.25,NA,NA,NA
JHU,1,2011-04-23,3178.75,748.2625,11234.12499999999,9541.75,1416.75,60291.912499999904,10996242.75,NA,NA,NA
JHU,1,2011-04-30,3481.25,833.825,12621.499999999993,10165.75,1447.5375,66159.72499999998,10999383,NA,NA,NA
JHU,1,2011-05-07,3902.25,930.0625,12875.987499999994,11142,1592.0125,63372.924999999894,11002527.25,NA,NA,NA
JHU,1,2011-05-14,4246.25,957.5875,11854.699999999977,12510,1760.2125,63825.12499999988,11005673.25,NA,NA,NA
JHU,1,2011-05-21,4737.25,1055.2875000000001,12127.649999999994,13558.75,1920.8249999999998,64095.49999999991,11008816.5,NA,NA,NA
JHU,1,2011-05-28,4923,1245.6875,13292.737499999996,14153.5,2066.35,66508.67499999997,11011959,NA,NA,NA
JHU,1,2011-06-04,5161.25,1372.8875,13974.537499999999,14699.5,2217.9875,66034.54999999994,11015095,NA,NA,NA
JHU,1,2011-06-11,5366,1371.1875,14194.249999999998,15301.5,2366.1749999999997,66234.56249999999,11018243.25,NA,NA,NA
JHU,1,2011-06-18,5283,1432.1625,14184.087499999987,15642,2339.8125,61966.63749999997,11021386.25,NA,NA,NA
JHU,1,2011-06-25,5175,1383.2625,13645.774999999998,15595.25,2303.275,57505.0625,11024533,NA,NA,NA
JHU,1,2011-07-02,4945.75,1429.65,13608.224999999986,14839,2192.175,51095.425,11027682.25,NA,NA,NA
JHU,1,2011-07-09,4444.5,1329.7625,12296.299999999992,13993.25,2163.725,44862.78749999999,11030829.25,NA,NA,NA
JHU,1,2011-07-16,4155.5,1118.8375,11076.63749999999,13579.75,2083.75,39636.912499999955,11033982.75,NA,NA,NA
JHU,1,2011-07-23,3892.25,1164.5,11599.199999999999,13167.75,1936.7375,36323.124999999956,11037128.75,NA,NA,NA
JHU,1,2011-07-30,3604.75,1052.0875,10565.97499999997,12299.5,1752.2124999999999,34892.68749999999,11040275.75,NA,NA,NA
JHU,1,2011-08-06,3315,1015.0125,8778.212499999994,11509,1616.7875,32044.212499999998,11043439,NA,NA,NA
JHU,1,2011-08-13,3094.75,998.375,8896.824999999986,11108.5,1618.3375,30389.58749999997,11046584.5,NA,NA,NA
JHU,1,2011-08-20,3049.5,986.6875,8969.499999999998,10914.75,1704.15,29883.599999999955,11049746.25,NA,NA,NA
JHU,1,2011-08-27,3067.25,982.525,8380.25,10964.75,1870.4375,30598.512499999997,11052904.25,NA,NA,NA
JHU,1,2011-09-03,3168,1100.5375,9748.6625,10855.75,1959.7125,31417.474999999988,11056053,NA,NA,NA
JHU,1,2011-09-10,3152,1160.7375,9705.287499999988,11402.75,2091.9625,33932.1875,11059218.25,NA,NA,NA
JHU,1,2011-09-17,3351,1282.5625,10899.037499999993,11917.5,2140.5625,36805.937499999985,11062371.75,NA,NA,NA
JHU,1,2011-09-24,3500.25,1501.6125000000002,10998.31249999997,13051.75,2383.8,40760.062499999985,11065528,NA,NA,NA
JHU,1,2011-10-01,3837,1510.55,12995.749999999998,13852.25,2447.3875000000003,44102.71249999999,11068685.5,NA,NA,NA
JHU,1,2011-10-08,4144.5,1571.8,13291.262499999977,14562,2552.725,46487.0125,11071846.25,NA,NA,NA
JHU,1,2011-10-15,4173.25,1830.1125000000002,13288.374999999984,15213.75,2761,47851.274999999994,11075002.5,NA,NA,NA
JHU,1,2011-10-22,4311,1823.3125,15037.424999999948,15898,2914.05,47826.24999999998,11078170.5,NA,NA,NA
JHU,1,2011-10-29,4488.75,2027.025,14991.862499999994,16470.25,2956.5125,46640.887499999975,11081330.25,NA,NA,NA
JHU,1,2011-11-05,4494,2059.4375,13795.937499999982,16791.75,3123.7374999999997,44152.32499999996,11084490.5,NA,NA,NA
JHU,1,2011-11-12,4401.5,1989.1625000000001,15425.66249999998,16666.75,3278.075,40970.04999999995,11087654,NA,NA,NA
JHU,1,2011-11-19,4281.75,2204.5,12904.387499999973,15562.25,3242.875,39454.62499999999,11090820.75,NA,NA,NA
JHU,1,2011-11-26,3970.5,2085.05,12745.887499999968,14294.5,3102.2625,36200.68749999999,11093987.25,NA,NA,NA
JHU,1,2011-12-03,3592,2056.3875,12759.337499999994,13443.75,2953.475,33592.5125,11097161.75,NA,NA,NA
JHU,1,2011-12-10,3384.25,1800.775,10622.612499999992,12489.25,2835.5125000000003,31507.4375,11100334,NA,NA,NA
JHU,1,2011-12-17,3329.5,1457.4875,10414.962499999994,11270.5,2603.4125,28314.47499999998,11103497.25,NA,NA,NA
JHU,1,2011-12-24,2846.75,1381.9625,9736.11249999999,10177.25,2372.1375,25236.26249999996,11106660.25,NA,NA,NA
JHU,1,2011-12-31,2506,1042.9125,6868.13749999999,9151,2206.5375,23042.412499999966,11109829.5,NA,NA,NA
JHU,1,2012-01-07,2296.25,948.65,6771.987499999994,8205.75,2008.1875,20844.89999999998,11113012.75,NA,NA,NA
JHU,1,2012-01-14,2058.25,976.7,5732.087499999991,7238.75,1898.3125,18658.712499999994,11116178.5,NA,NA,NA
JHU,1,2012-01-21,1809,781.2750000000001,4818.462499999996,6302.75,1581.4375,16909.837499999994,11119355.75,NA,NA,NA
JHU,1,2012-01-28,1602.5,644.425,4215.1749999999865,5564.5,1340.1125,15131.587499999992,11122528.25,NA,NA,NA
JHU,1,2012-02-04,1420.75,548.55,3617.3749999999986,4877.75,1195.3625,13149.337499999996,11125703.5,NA,NA,NA
JHU,1,2012-02-11,1246.5,496.1625,3287.2999999999965,4295.25,1060.6625000000001,11330.737499999997,11128879.75,NA,NA,NA
JHU,1,2012-02-18,1134.75,420.0625,3156.0875,3821,900.2750000000001,9597.724999999995,11132049.25,NA,NA,NA
JHU,1,2012-02-25,995.75,434.52500000000003,2540.5374999999976,3468,744.475,8292.049999999996,11135232.5,NA,NA,NA
JHU,1,2012-03-03,894.25,374.6125,2271.7624999999994,3168,685.15,7681.025,11138404.5,NA,NA,NA
