team,scenario,time_frame,pr_elim_thresh1,pr_resurg_thresh1,pr_elim_thresh2,pr_resurg_thresh2,cum_inf_med,cum_inf_low,cum_inf_hi
JHU,1,3,0.7953956834532374,3.61794500723589e-4,0.7951079136690647,0,23549.5,0,138827.47500000003
JHU,1,5,0.7959712230215827,3.6153289949385393e-4,0.7959712230215827,0,23549.5,0,252065.17500000008
JHU,1,10,0.7959712230215827,3.6153289949385393e-4,0.7959712230215827,0,23549.5,0,1412445.3500000015
JHU,2,3,0.3079136690647482,9.345794392523365e-4,0.24345323741007194,0,119982.5,0.9750000000000085,577698.0000000001
JHU,2,5,0.3289208633093525,8.748906386701663e-4,0.32719424460431656,0,157207.5,0.9750000000000085,893169.1500000003
JHU,2,10,0.3294964028776978,8.733624454148472e-4,0.32920863309352516,0,442808,0.9750000000000085,2774373.525000001
JHU,3,3,0.7105035971223022,8.100445524503848e-4,0.6909352517985612,0,59853.5,0,310319.8000000001
JHU,3,5,0.7165467625899281,8.032128514056225e-4,0.7159712230215828,0,59853.5,0,387359.1000000001
JHU,3,10,0.7165467625899281,8.032128514056225e-4,0.7165467625899281,0,59853.5,0,1394812.0000000002
JHU,4,3,0.6480575539568345,8.880994671403197e-4,0.6333812949640287,0,75743.5,0,393000.45000000007
JHU,4,5,0.6486330935251798,8.873114463176575e-4,0.6489208633093525,0,75743.5,0,545327.4750000001
JHU,4,10,0.6486330935251798,8.873114463176575e-4,0.6489208633093525,0,75743.5,0,1871239.1750000005
JHU,25,3,0.881726618705036,0,0.880863309352518,0,22141,0,112936.67500000003
JHU,25,5,0.881726618705036,0,0.881726618705036,0,22141,0,184547.80000000005
JHU,25,10,0.881726618705036,0,0.881726618705036,0,22141,0,1184868.8500000006
JHU,0,3,0.055827338129496404,0,0.05525179856115108,0,210502,0,909892.8750000002
JHU,0,5,0.0581294964028777,0,0.05755395683453238,0,370793.5,0,1508404.4500000004
JHU,0,10,0.05841726618705036,0,0.05841726618705036,0,805234,0,3120009.500000001
